date,username,to,replies,retweets,favorites,tweet,geo,mentions,hashtags,id,permalink
2019-08-27 20:58:20,taylorswift13,,2244,3210,36984,"It’s you and me, there’s nothing like this pic.twitter.com/JKS1O4rnzY",,,,1166454924361773056,https://twitter.com/taylorswift13/status/1166454924361773056
2019-08-27 20:50:44,taylorswift13,,1832,3268,37803,"I once believed love would be burning red, but it’s golden pic.twitter.com/09hzwQAVeu",,,,1166453013650792448,https://twitter.com/taylorswift13/status/1166453013650792448
2019-08-27 20:44:20,taylorswift13,,1649,3118,39786,Threw out our cloaks and our daggers because it’s morning now. pic.twitter.com/u1LqbgCKKd,,,,1166451400131469312,https://twitter.com/taylorswift13/status/1166451400131469312
2019-08-27 20:38:06,taylorswift13,,1465,2627,27563,They say the road gets hard and you get lost when you’re led by blind faith..But we might just get away with it pic.twitter.com/W3aKhXThA7,,,,1166449835010154496,https://twitter.com/taylorswift13/status/1166449835010154496
2019-08-27 20:33:49,taylorswift13,,1211,2822,31714,"We bless the rains on Cornelia Street, memorize the creaks in the floor pic.twitter.com/s3Uze1fJtb",,,,1166448755098497024,https://twitter.com/taylorswift13/status/1166448755098497024
2019-08-27 20:16:33,taylorswift13,,2117,9844,72076,"Thank you to the fans who voted, our excellent cast, @todrick , @drewkirsch and everyone who worked so hard on the You Need to Calm Down video. @vmas Video of the Year I MEAN JUST WOW GUYS YOU DID THAT HUH : @KevinMazur // @GettyVIPpic.twitter.com/WjD6muE3nv",,@todrick @drewkirsch @vmas @KevinMazur @GettyVIPpic,,1166444409921134593,https://twitter.com/taylorswift13/status/1166444409921134593
2019-08-26 20:28:16,taylorswift13,,1931,4258,54393,"I’ll tell you the truth, but never goodbye pic.twitter.com/xpgFpLHKtv",,,,1166084970231861248,https://twitter.com/taylorswift13/status/1166084970231861248
2019-08-26 20:16:53,taylorswift13,,1925,4706,56178,"And I hope I never lose you, hope it never ends pic.twitter.com/7BhkCdssqB",,,,1166082105811619840,https://twitter.com/taylorswift13/status/1166082105811619840
2019-08-26 20:06:57,taylorswift13,,1765,2932,33935,"Lost my gloves, you give me one. Wanna hang out? Yeah, sounds like fun pic.twitter.com/byJsAuDcHT",,,,1166079607688302593,https://twitter.com/taylorswift13/status/1166079607688302593
2019-08-26 19:59:11,taylorswift13,,1557,3250,36053,This ultraviolet morning light below tells me this love is worth the fight pic.twitter.com/fo8M7j5h6e,,,,1166077650219216896,https://twitter.com/taylorswift13/status/1166077650219216896
